Emission_ID,Asset_ID,Asset_Name,Year,Scope,Category,Emissions_tCO2e,Calculation_Methodology,Emission_Factor_Source,Data_Quality,Verification_Status,Notes
EMIT_001,ASSET_001,Coal Mining Company,2023,1,Mining_Operations,125000,"Direct measurement: equipment fuel consumption logged daily. Blasting explosives: 500 tons/yr × 0.18 kg CO2e/kg TNT equivalent","IPCC AR6, local mining association",High,Third-party_Verified,"Scope 1: All direct mining operations. Equipment: excavators (350 tons/yr fuel), compressors (150 tons), vehicles (300 tons). Blasting: 500 tons explosive material."
EMIT_002,ASSET_001,Coal Mining Company,2023,2,Purchased_Electricity,45000,"Location-based: 90,000 MWh purchased × 0.5 kg CO2/kWh grid average","EU average grid intensity 2023",High,Verified,"Scope 2 Location-based: Poland average grid ~0.5 kg CO2e/kWh (coal-heavy). Market-based (renewable purchases): 10% of electricity = 81,000 tCO2e location vs 67,500 market."
EMIT_002b,ASSET_001,Coal Mining Company,2023,2,Purchased_Electricity_Market,67500,"Market-based: (90,000 MWh × 90% grid) × 0.5 + (9,000 MWh × 0.05 kg CO2/kWh renewable)","EU renewable factor 0.05 kg/kWh, grid 0.5 kg/kWh",High,Verified,"Scope 2 Market-based: Accounts for 10% renewable energy certificates purchased."
EMIT_003,ASSET_001,Coal Mining Company,2023,3,Upstream_Coal_Combustion,680000,"Financed emissions: 1.5M tons coal produced × 0.453 kg CO2e/kg coal (IPCC combustion factor)","IPCC AR6 combustion factors for thermal coal",Medium,Third_Party_Estimate,"Scope 3: Coal combustion at end-customer power plants. 1.5M tons coal × 0.453 = 680,000 tCO2e. Assumption: 95% burned, 5% stockpiled/waste."
EMIT_004,ASSET_002,Oil & Gas Portfolio,2023,1,Production_Flaring,280000,"Direct measurement: gas flaring volume logged daily at wellheads. 150 MMcf/yr flared × 0.0557 kg CO2e per cubic meter","EPA flaring emission factors, operator field data",High,Verified,"Scope 1: Flaring at 12 production sites. Winter flaring 60% of total (high pressure/safety). Summer flaring 40%. Fugitive emissions (leaks) add ~10,000 tCO2e."
EMIT_005,ASSET_002,Oil & Gas Portfolio,2023,2,Purchased_Electricity,95000,"Location-based: 250,000 MWh × 0.38 kg CO2/kWh (Norway grid, 95% hydro)","Norwegian grid mix 2023: 95% hydro, 5% thermal",High,Verified,"Scope 2: Offshore platform electricity from mainland grid. Norwegian grid is one of cleanest in Europe (0.38 kg CO2/kWh average)."
EMIT_006,ASSET_002,Oil & Gas Portfolio,2023,3,Customer_Combustion,1250000,"Use-phase emissions: 5M barrels oil × 410 kg CO2/barrel + 20 BCF gas × 0.0567 kg CO2e/cubic meter","IPCC AR6 combustion factors",Medium,Industry_Estimate,"Scope 3: End-customer combustion of oil/gas products. 5M barrels × 410 kg/barrel (accounting for refining losses) + gas combustion."
EMIT_007,ASSET_003,Renewable Solar Farm,2023,1,Direct_Operations,0,"No direct emissions from solar generation. Grid balancing by grid operator.","N/A",High,Verified,"Scope 1: Zero direct emissions from solar PV generation operations."
EMIT_008,ASSET_003,Renewable Solar Farm,2023,2,Purchased_Electricity,500,"Minimal: Inverter controls, security systems: 1,200 MWh × 0.42 kg CO2/kWh (Spain grid)","Spain average grid 2023",High,Verified,"Scope 2: Small parasitic loads for inverters, monitoring systems, grid balancing."
EMIT_009,ASSET_003,Renewable Solar Farm,2023,3,Panel_Manufacturing_Embedded,2500,"Embodied emissions: 80 MWp capacity × 30-40 kg CO2e per MWp (panel manufacturing upstream)","IVL Swedish Environmental Research Institute",Medium,Calculated,"Scope 3: Lifecycle embodied emissions in solar panel manufacturing. Aluminum frames, silicon refining, glass production. Allocated across 25-year lifetime = ~100 tCO2e/year."
EMIT_010,ASSET_004,Wind Energy Assets,2023,1,Direct_Operations,0,"No direct emissions from wind generation.","N/A",High,Verified,"Scope 1: Zero direct emissions from onshore wind turbine operation."
EMIT_011,ASSET_004,Wind Energy Assets,2023,2,Purchased_Electricity,200,"Minimal: Control systems, heating: 500 MWh × 0.4 kg CO2/kWh (Germany grid)","Germany average grid 2023",High,Verified,"Scope 2: Small loads for control systems, heated tower base in winter."
EMIT_012,ASSET_004,Wind Energy Assets,2023,3,Turbine_Manufacturing_Embedded,1800,"Embodied: 120 MW capacity × 15 kg CO2e per MW (turbine steel, rare earths)","Energy monitoring reports from manufacturers",Medium,Calculated,"Scope 3: Turbine manufacturing (steel, REE magnets), concrete foundation, shipping. Allocated over 25-year lifetime = ~72 tCO2e/year."
EMIT_013,ASSET_005,Commercial Real Estate Portfolio,2023,1,Building_Operations_Heat,12500,"Natural gas combustion: 4.5M cubic meters × 2.04 kg CO2e per cubic meter (gas combustion factor)","IPCC combustion factors, meter readings",Medium,Verified,"Scope 1: Natural gas for heating/hot water across 35 properties. Winter peak: 8M m3, summer: 1M m3. Office buildings 60%, retail 40%."
EMIT_014,ASSET_005,Commercial Real Estate Portfolio,2023,2,Purchased_Electricity,58000,"Location-based: 145,000 MWh × 0.4 kg CO2/kWh (Germany grid average 2023)","German grid mix 2023 (renewable mix increasing)",High,Verified,"Scope 2: Electricity for HVAC, lighting, elevators. Location-based accounts for average German grid. Market-based (renewable contracts): would be 20% lower."
EMIT_015,ASSET_005,Commercial Real Estate Portfolio,2023,3,Supply_Chain_Waste,8500,"Waste management & water: 3,500 tons waste × 0.3 kg CO2/kg (transport + landfill) + 2.5M m3 water × 0.003 kg CO2/m3 treatment","EPA waste factors, local water authority",Low,Estimated,"Scope 3: Waste hauling (85%), landfill (treatment), water treatment. Excludes embodied carbon in building construction (would be allocated per year = 500+ tCO2e)."
EMIT_016,ASSET_006,Residential Properties,2023,1,Building_Operations_Gas,18000,"Natural gas: 8.5M cubic meters × 2.04 kg CO2e/m3 (residential heating factor)","IPCC combustion, meter readings from residents",Medium,Verified,"Scope 1: Heating across 450 residential units. Highly variable: cold winters increase 30%, mild winters decrease 20%."
EMIT_017,ASSET_006,Residential Properties,2023,2,Purchased_Electricity,72000,"Location-based: 200,000 MWh × 0.36 kg CO2/kWh (Berlin grid)","Berlin grid mix 2023 (increasing renewables)",High,Verified,"Scope 2: Common area lighting, elevators, heating systems. 45% tenant-controlled, 55% building common."
