Emission_ID,Asset_ID,Asset_Name,Scope,Category,Emissions_tCO2e,Unit,Year,Data_Quality,Verification_Status,Notes
EMIT_001,ASSET_001,Coal Mining Company,1,Direct Operations,125000,tCO2e,2023,High,Verified,"Scope 1: Mining equipment, blasting, processing"
EMIT_002,ASSET_001,Coal Mining Company,2,Electricity,45000,tCO2e,2023,High,Verified,"Scope 2: Purchased electricity for operations"
EMIT_003,ASSET_001,Coal Mining Company,3,Upstream Coal,680000,tCO2e,2023,Medium,Third-Party,"Scope 3: Coal combustion at customer power plants"
EMIT_004,ASSET_002,Oil & Gas Portfolio,1,Production Flaring,280000,tCO2e,2023,High,Verified,"Scope 1: Flaring and fugitive emissions"
EMIT_005,ASSET_002,Oil & Gas Portfolio,2,Electricity,95000,tCO2e,2023,High,Verified,"Scope 2: Purchased power for extraction"
EMIT_006,ASSET_002,Oil & Gas Portfolio,3,Combustion,1250000,tCO2e,2023,Medium,Third-Party,"Scope 3: Oil and gas burned by end-customers"
EMIT_007,ASSET_003,Renewable Solar Farm,1,Direct Emissions,0,tCO2e,2023,High,Verified,"Scope 1: Negligible emissions"
EMIT_008,ASSET_003,Renewable Solar Farm,2,Electricity,500,tCO2e,2023,High,Verified,"Scope 2: Minimal purchased electricity"
EMIT_009,ASSET_003,Renewable Solar Farm,3,Manufacturing,2500,tCO2e,2023,Medium,Calculated,"Scope 3: Embedded emissions in solar panels"
EMIT_010,ASSET_004,Wind Energy Assets,1,Direct Emissions,0,tCO2e,2023,High,Verified,"Scope 1: Negligible emissions"
EMIT_011,ASSET_004,Wind Energy Assets,2,Electricity,200,tCO2e,2023,High,Verified,"Scope 2: Minimal purchased electricity"
EMIT_012,ASSET_004,Wind Energy Assets,3,Manufacturing,1800,tCO2e,2023,Medium,Calculated,"Scope 3: Embedded in turbine manufacturing"
EMIT_013,ASSET_005,Commercial Real Estate Portfolio,1,Building Operations,12500,tCO2e,2023,Medium,Verified,"Scope 1: Natural gas heating and cooking"
EMIT_014,ASSET_005,Commercial Real Estate Portfolio,2,Electricity,58000,tCO2e,2023,High,Verified,"Scope 2: Purchased electricity for HVAC and lighting"
EMIT_015,ASSET_005,Commercial Real Estate Portfolio,3,Supply Chain,8500,tCO2e,2023,Low,Estimated,"Scope 3: Water and waste treatment"
EMIT_016,ASSET_006,Residential Properties,1,Building Operations,18000,tCO2e,2023,Medium,Verified,"Scope 1: Natural gas for heating across portfolio"
EMIT_017,ASSET_006,Residential Properties,2,Electricity,72000,tCO2e,2023,High,Verified,"Scope 2: Electricity for common areas and units"
EMIT_018,ASSET_006,Residential Properties,3,Supply Chain,12000,tCO2e,2023,Low,Estimated,"Scope 3: Waste management and maintenance"
EMIT_019,ASSET_007,Agricultural Land Holdings,1,Farm Operations,28000,tCO2e,2023,Medium,Estimated,"Scope 1: Machinery fuel and fertilizer application"
EMIT_020,ASSET_007,Agricultural Land Holdings,3,Supply Chain,45000,tCO2e,2023,Low,Estimated,"Scope 3: Fertilizer production and crop processing"
EMIT_021,ASSET_008,Thermal Power Plant,1,Coal Combustion,580000,tCO2e,2023,High,Verified,"Scope 1: Direct coal burning for power generation"
EMIT_022,ASSET_008,Thermal Power Plant,2,Electricity,8000,tCO2e,2023,High,Verified,"Scope 2: Auxiliary operations electricity"
EMIT_023,ASSET_009,Steel Manufacturing,1,Iron & Steel Process,125000,tCO2e,2023,High,Verified,"Scope 1: Blast furnace and direct reduction"
EMIT_024,ASSET_009,Steel Manufacturing,2,Electricity,68000,tCO2e,2023,High,Verified,"Scope 2: Purchased electricity for production"
EMIT_025,ASSET_010,Transportation Infrastructure,1,Operations,22000,tCO2e,2023,Medium,Verified,"Scope 1: Maintenance vehicle fuel"
EMIT_026,ASSET_010,Transportation Infrastructure,3,User Emissions,450000,tCO2e,2023,Medium,Estimated,"Scope 3: Vehicle fuel combustion on roads"
