Risk_Category,Risk_Type,Asset_Name,Response_Strategy,Planned_Start_Year,Planned_End_Year,Planned_Capex_EUR_M,Capex_Spent_To_Date_EUR_M,Implementation_Status,Timeline_Status,Key_Milestones,Insurance_Coverage_EUR_M,Governance_Approval,Escalation_Authority,Monitoring_Frequency,Effectiveness_Metric,Notes
Physical,Flood,Commercial Real Estate Portfolio,Flood-proofing and water management systems,2025,2030,200,45,In Progress,On Schedule,"Q2 2025: Design phase complete, Q3 2025: Construction begins",150,Board Risk Committee,CFO >50M,Quarterly,Annual damage reduction vs. baseline,Munich location highest priority
Physical,Flood,Residential Properties,Flood resilience and early warning systems,2025,2035,250,30,In Progress,Delayed,"Q1 2026: Systems installed, Q2 2026: Training complete",180,Board Risk Committee,CFO >50M,Quarterly,Reduced evacuation time,Berlin assets need acceleration
Physical,Heat_Stress,Commercial Real Estate Portfolio,Cool roofs and HVAC upgrades,2026,2032,120,15,Planned,On Schedule,"Q3 2026: Retrofit phase 1, Q4 2027: Retrofit phase 2",80,Risk Committee,CRO,Quarterly,Energy cost reduction and occupancy rates,Tied to renewable energy expansion
Physical,Drought,Agricultural Land Holdings,Irrigation infrastructure and drought-resistant crops,2025,2040,100,10,Planned,On Schedule,"Q2 2025: Irrigation feasibility study, Q4 2025: Pilot phase",20,Risk Committee,CRO,Semi-Annual,Crop yield stability,France location critical
Physical,Extreme_Weather,Transportation Infrastructure,Asset hardening and redundancy,2026,2045,300,25,Planned,On Schedule,"Q1 2027: Vulnerability assessment, Q3 2027: Hardening phase 1",200,Board Risk Committee,CFO >50M,Quarterly,Network reliability improvement,Multi-country coordination needed
Transition,Coal_Assets,Coal Mining Company,Managed divestment and closure planning,2025,2030,0,200,In Progress,Behind Schedule,"Q2 2025: Buyer search, Q4 2027: Sale target, Q4 2030: Closure",0,Board Risk Committee,CFO >50M,Monthly,Divestment completion % and timeline adherence,Behind schedule - need to accelerate buyer identification
Transition,Coal_Assets,Thermal Power Plant,Coal phase-out and alternative fuel transition,2025,2035,150,25,In Progress,Behind Schedule,"Q3 2025: Technology assessment, Q2 2026: Conversion planning, 2027-2035: Phased conversion",100,Board Risk Committee,CFO >50M,Quarterly,Operational capacity maintained during transition,Critical for regulatory compliance - accelerate timeline
Transition,Oil_Gas,Oil & Gas Portfolio,Portfolio reduction and clean energy pivot,2025,2040,250,45,In Progress,On Schedule,"2026: -10% exposure, 2030: -20% exposure, 2040: -50% exposure",0,Board Risk Committee,CFO >50M,Quarterly,Quarterly divestment progress tracking,Aligned with EU regulatory timeline
Transition,Fossil_Fuels,All_Fossil_Assets,Carbon pricing hedging and cost management,2025,2050,0,5,Active,On Schedule,"Continuous: Carbon futures hedging, Annual: Strategy review",500,Risk Committee,CRO,Monthly,Hedging effectiveness vs. spot prices,Active hedging program reduces exposure
Transition,Renewable_Energy_Growth,Portfolio_Wide,Renewable energy expansion and investment,2025,2030,600,120,In Progress,On Schedule,"2025: €200M invested, 2027: €400M invested, 2030: €600M target",0,Board Risk Committee,CFO >50M,Quarterly,Green assets % of portfolio,Target: 40% by 2030 vs current 20%
Transition,Technology_Disruption,Steel_Manufacturing,Green steel conversion and technology upgrade,2025,2035,200,30,In Progress,On Schedule,"Q4 2025: Technology pilot, 2027-2030: Scale-up, 2035: 50% green steel production",150,Risk Committee,CRO,Quarterly,Green steel production % and cost differential,EU carbon border adjustment driver
Financial,Insurance_Gap,Physical_Assets,Expand insurance coverage for physical risks,2025,2027,0,50,Planned,On Schedule,"Q2 2026: Additional policies purchased, Q4 2026: Full coverage achieved",350,Risk Committee,CFO,Annual,Insurance claim settlement time and recovery rate,Current gap: €300M - closing through 2026
Financial,Capital_Reserve,Emergency_Fund,Build climate incident financial reserves,2025,2030,0,60,In Progress,On Schedule,"Annual: €100M allocated, Target: €300M by 2030",0,Board,CFO,Monthly,Reserve balance vs. target,€300M available for climate emergencies
Financial,Supply_Chain_Hedging,Commodities,Forward contracts and commodity price hedges,2025,2050,0,2,Active,On Schedule,"Continuous: Active hedging on key commodities",200,Risk Committee,CRO,Monthly,Hedging coverage ratio and effectiveness,Protects against supply chain disruption
Governance,Risk_Management_Process,Enterprise_Wide,Integrate climate risk into enterprise risk framework,2025,2026,5,2,In Progress,On Schedule,"Q2 2025: Process design, Q4 2025: Implementation, Q2 2026: Full integration",0,Board,CRO,Quarterly,Risk metrics included in Board reporting,Required for Basel III compliance
Governance,Response_Team_Capability,Enterprise_Wide,Build and train climate response teams,2025,Ongoing,3,1,Active,On Schedule,"Q1 2026: Initial training, Annual: Refresher training and drills",0,Risk Committee,CRO,Annual,Response time to incidents and team availability,25 FTE dedicated team established
Governance,Incident_Response_Drills,Enterprise_Wide,Annual climate incident simulation and preparedness,2025,Ongoing,1,0.5,Active,On Schedule,"Semi-Annual: Incident simulation drills, Quarterly: Tabletop exercises",0,Risk Committee,CRO,Semi-Annual,Drill outcomes and response improvements,2 major drills completed Q1 2026
Governance,Regulatory_Monitoring,Enterprise_Wide,Continuous climate policy and regulatory tracking,2025,Ongoing,2,1,Active,On Schedule,"Continuous: Daily policy monitoring, Monthly: Regulatory update reports",0,Risk Committee,CRO,Monthly,Regulatory change response time and compliance rate,Early warning system for regulatory shifts
Monitoring,Effectiveness_Assessment,Enterprise_Wide,Annual review of risk response effectiveness,2025,Ongoing,1,0.3,Active,On Schedule,"Annual: Comprehensive effectiveness review, Lessons learned documentation",0,Risk Committee,CRO,Annual,Actual vs. planned outcomes and improvement rate,Drives next year response strategy updates
