Asset_ID,Asset_Name,Asset_Type,Sector,Region,Exposure_EUR_M,Annual_Revenue_EUR_M,Climate_Risk_Score,Materiality_Score,Description
ASSET_001,Coal Mining Company,Coal,Energy,Poland,450,120,92,85,"Large coal mining operations in Poland. High physical and transition risk."
ASSET_002,Oil & Gas Portfolio,Oil & Gas,Energy,North Sea,2400,580,88,82,"Upstream oil and gas operations. Exposed to transition risk and regulatory changes."
ASSET_003,Renewable Solar Farm,Renewable Energy,Energy,Spain,320,45,12,5,"Large-scale solar PV facility. Low climate risk, supports transition."
ASSET_004,Wind Energy Assets,Renewable Energy,Energy,Germany,280,38,8,3,"Onshore wind farms across Germany. Excellent climate profile."
ASSET_005,Commercial Real Estate Portfolio,Real Estate,Real Estate,Munich,2100,280,35,40,"Premium office and retail properties in Munich. Flood and heat risk exposure."
ASSET_006,Residential Properties,Real Estate,Real Estate,Berlin,3500,420,42,45,"Multi-family residential across Berlin. Urban flood and heat wave risks."
ASSET_007,Agricultural Land Holdings,Agriculture,Agriculture,France,420,65,55,48,"Grain farming and viticulture assets. Drought and heat stress risks."
ASSET_008,Thermal Power Plant,Power Generation,Energy,Germany,680,95,76,70,"Coal-fired power station. Phase-out risk. Transition essential."
ASSET_009,Steel Manufacturing,Manufacturing,Manufacturing,Ruhr,580,125,48,42,"Steel production facility. Moderate climate exposure and transition risk."
ASSET_010,Transportation Infrastructure,Infrastructure,Infrastructure,EU,890,105,38,35,"Road and rail assets. Flood and extreme weather risks."
ASSET_011,Chemical Production,Manufacturing,Manufacturing,Belgium,420,98,45,38,"Chemical manufacturing plant. Water stress and operational risks."
ASSET_012,Food & Beverage Processing,Manufacturing,Food,Netherlands,310,72,52,44,"Agricultural commodity processing. Supply chain climate risks."
ASSET_013,Fishing Fleet,Agriculture,Agriculture,Atlantic,180,42,68,55,"Commercial fishing operations. Ocean acidification and temperature risks."
ASSET_014,Water Utility Company,Utilities,Utilities,Spain,520,85,61,58,"Water supply infrastructure. Drought and flood related risks."
ASSET_015,Tourism Infrastructure,Hospitality,Hospitality,Alps,290,38,45,32,"Alpine ski resorts and hotels. Snow cover and heat wave risks."
