Asset_ID,Asset_Name,Asset_Type,Sector,Region,Country,Latitude,Longitude,Exposure_EUR_M,Annual_Revenue_EUR_M,Physical_Risk_Type,Physical_Risk_Score_0_100,Transition_Risk_Score_0_100,Capital_Expenditure_2024_2030_EUR_M,Supply_Chain_Risk_Level,Insurance_Coverage_Percent,Time_Horizon_Impact,Materiality_Assessment_Notes
ASSET_001,Coal Mining Company,Coal,Energy,Poland,Poland,51.5,19.0,450,120,Drought_Subsidence,72,95,180,"High - supply chain dependent on energy availability",45,"Transition risk peaks 2030-2040 as coal demand falls. NPV severely negative in <2C scenario","Coal assets face existential risk in 1.5C/2C scenarios. Stranded asset risk 60-80% of exposure."
ASSET_002,Oil & Gas Portfolio,Oil & Gas,Energy,North Sea,Norway,58.5,2.5,2400,580,"Physical: Storms,Flooding",65,92,250,"Medium - supply chain vulnerable to policy shocks",60,"Regulatory risk materializes 2025-2035 with carbon pricing. Revenue impact -35% by 2040 in 1.5C","Oil & Gas faces policy-driven transition risk. Upstream operations face commodity price collapse risk in low-carbon scenarios."
ASSET_003,Renewable Solar Farm,Renewable Energy,Energy,Spain,Spain,39.5,-3.0,320,45,Heat_Stress,15,5,80,"Low - diversified supply chain, well-established",90,"Solar assets benefit from transition. Physical risk minimal. Long-term revenue protected under all scenarios.",Renewable energy benefits from transition to low-carbon. Minimal climate exposure. Strategic value increases post-2030.
ASSET_004,Wind Energy Assets,Renewable Energy,Energy,Germany,Germany,51.5,10.0,280,38,Extreme_Weather,20,3,60,"Low - mature technology supply chains",85,"Wind farms resilient to climate change. Physical risks manageable with maintenance investment.",Renewable assets de-risk portfolio. Physical risks offset by operational resilience investments.
ASSET_005,Commercial Real Estate Portfolio,Real Estate,Real Estate,Munich,Germany,48.1,11.6,2100,280,"Flood,Heat_Stress",55,25,150,"Medium - tenants may relocate if climate worsens",70,"Urban flood risk in Munich increases post-2035. Heat stress reduces rental income. Adaptation capex required 200-300M EUR by 2050.","Munich real estate faces increasing physical risk. Flood mitigation capex essential by 2040. Rental demand at risk from climate migration."
ASSET_006,Residential Properties,Real Estate,Real Estate,Berlin,Germany,52.5,13.4,3500,420,"Flood,Extreme_Heat_Waves",48,22,200,"Medium - residential demand stable but location-sensitive",65,"Berlin faces urban heat island + occasional flooding. Migration risk if adaptation not implemented. Long-term demand uncertain.","Largest asset class. Physical risks moderate but consistent. Adaptation costs 250-400M EUR by 2050. Demand resilience depends on climate adaptation policy."
ASSET_007,Agricultural Land Holdings,Agriculture,Agriculture,France,France,46.5,2.0,420,65,"Drought,Extreme_Heat",70,35,45,"High - highly dependent on water availability and growing seasons",35,"Agricultural assets face severe drought risk in 1.5C/2C scenarios. Crop viability at risk. Supply chain disruption likely.",Agricultural sector most vulnerable to physical climate risks. Drought impact: -40-60% revenue in adverse scenarios. Adaptation through irrigation requires massive capex (100M+ EUR).
ASSET_008,Thermal Power Plant,Power Generation,Energy,Germany,Germany,51.2,7.8,680,95,"Water_Stress,Cooling_Failure",62,96,80,"Transition risk extreme - coal phase-out mandatory by 2030. Physical water stress risk high.",40,"Coal power facing regulatory phase-out by 2030-2035 across EU. Physical risks (water stress) secondary to policy risk. Asset write-down likely by 2035.","Coal power plant faces existential risk. TCFD scenario analysis shows NPV = 0 or negative under 1.5C/2C. Immediate stranded asset risk."
ASSET_009,Steel Manufacturing,Manufacturing,Manufacturing,Ruhr,Germany,51.4,7.2,580,125,"Water_Stress,Air_Quality",48,55,120,"Medium - transition risk from carbon pricing. Physical risk from water stress.",50,"Steel production faces EU carbon pricing (from 2025). Water stress risk in Ruhr region increasing. Capex for green steel transition 200-300M EUR by 2035.","Steel sector faces dual transition (technology + carbon pricing). Physical water risks moderate. Capex required for green steel conversion 200-300M EUR."
ASSET_010,Transportation Infrastructure,Infrastructure,Infrastructure,EU,EU,50.0,10.0,890,105,"Flood,Extreme_Heat",52,28,300,"Medium - climate-exposed but essential infrastructure",55,"Transportation infrastructure faces increasing flooding/heat damage. Maintenance capex rising. Long-term viability depends on climate adaptation investment.","Infrastructure assets essential but climate-exposed. Flood/heat risk increasing across EU regions. Adaptation capex 300-500M EUR by 2050."
